iter	Passed	Remaining
0	0	683
1	1	503
2	1	456
3	1	457
4	2	450
5	2	417
6	2	421
7	3	418
8	4	443
9	4	426
10	4	431
11	5	427
12	5	429
13	6	426
14	6	423
15	6	406
16	7	408
17	7	409
18	7	400
19	8	439
20	9	439
21	10	472
22	11	479
23	11	487
24	12	484
25	12	473
26	12	465
27	13	456
28	13	447
29	13	444
30	13	437
31	14	430
32	14	423
33	14	417
34	14	410
35	15	405
36	15	399
37	15	394
38	15	388
39	16	384
40	16	387
41	16	385
42	17	388
43	17	389
44	18	389
45	18	387
46	19	387
47	19	391
48	20	390
49	20	389
50	21	393
51	21	393
52	22	396
53	22	397
54	23	397
55	23	398
56	24	400
57	24	399
58	25	402
59	25	404
60	27	417
61	27	421
62	28	421
63	28	421
64	29	417
65	29	415
66	29	414
67	30	412
68	30	412
69	30	409
70	31	416
71	32	416
72	32	416
73	33	417
74	34	419
75	34	419
76	35	421
77	35	423
78	36	424
79	37	426
80	37	427
81	38	428
82	38	426
83	39	425
84	39	425
85	39	424
86	40	423
87	40	423
88	41	421
89	41	420
90	42	419
91	42	422
92	43	421
93	43	421
94	44	423
95	44	422
96	45	421
97	45	420
98	45	417
99	46	416
100	46	415
101	46	413
102	47	410
103	47	408
104	47	405
105	48	405
106	48	405
107	48	404
108	49	403
109	49	403
110	50	401
111	50	400
112	50	400
113	51	399
114	51	398
115	52	397
116	52	396
117	52	395
118	53	394
119	53	392
120	53	390
121	54	389
122	54	388
123	54	387
124	55	387
125	55	385
126	55	384
127	56	384
128	57	385
129	57	384
130	57	383
131	58	383
132	58	382
133	59	382
134	59	381
135	60	381
136	60	382
137	61	381
138	61	381
139	62	381
140	62	379
141	62	379
142	64	386
143	64	385
144	65	385
145	65	384
146	66	383
147	66	383
148	66	381
149	67	379
150	67	380
151	67	378
152	68	379
153	68	378
154	69	379
155	70	379
156	74	399
157	74	399
158	76	403
159	76	403
160	77	403
161	77	403
162	78	402
163	80	408
164	80	407
165	80	405
166	80	403
167	81	401
168	81	399
169	81	398
170	82	397
171	82	396
172	82	395
173	83	395
174	83	394
175	83	393
176	84	391
177	84	390
178	85	391
179	85	389
180	85	389
181	86	388
182	86	387
183	86	385
184	87	385
185	87	384
186	88	383
187	88	382
188	88	381
189	89	381
190	89	380
191	90	379
192	90	378
193	92	383
194	93	384
195	93	383
196	94	383
197	94	382
198	94	381
199	95	381
200	95	379
201	95	378
202	96	377
203	96	376
204	96	375
205	97	375
206	98	376
207	98	375
208	99	375
209	99	374
210	99	373
211	100	373
212	100	371
213	100	370
214	102	373
215	102	372
216	103	371
217	103	372
218	103	370
219	104	369
220	104	367
221	104	367
222	105	366
223	105	366
224	107	370
225	108	370
226	108	369
227	109	369
228	119	402
229	119	400
230	119	399
231	120	397
232	120	396
233	120	394
234	120	393
235	121	391
236	121	390
237	121	389
238	121	387
239	121	386
240	122	384
241	122	383
242	122	381
243	122	380
244	123	379
245	123	377
246	123	376
247	123	375
248	123	373
249	124	372
250	124	370
251	124	369
252	124	368
253	124	366
254	125	365
255	125	364
256	125	363
257	125	362
258	126	360
259	126	359
260	126	358
261	126	357
262	127	356
263	127	354
264	127	353
265	127	352
266	127	351
267	128	350
268	128	348
269	131	354
270	131	353
271	131	352
272	131	351
273	132	349
274	132	348
275	132	348
276	133	347
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	339
285	135	339
286	136	339
287	137	339
288	137	338
289	138	338
290	138	337
291	139	337
292	139	336
293	140	336
294	140	335
295	140	335
296	141	334
297	141	333
298	142	333
299	142	332
300	142	331
301	143	331
302	143	330
303	144	330
304	144	329
305	145	328
306	145	328
307	145	327
308	146	326
309	146	325
310	146	325
311	147	324
312	147	323
313	147	322
314	150	327
315	150	326
316	151	326
317	151	325
318	152	324
319	152	324
320	152	323
321	153	322
322	153	321
323	153	321
324	154	320
325	154	319
326	154	318
327	155	318
328	155	317
329	156	317
330	156	316
331	157	316
332	157	315
333	158	315
334	158	314
335	158	314
336	159	313
337	159	313
338	160	312
339	160	311
340	160	311
341	161	310
342	161	310
343	162	309
344	162	308
345	163	308
346	163	307
347	163	307
348	164	306
349	164	305
350	164	305
351	165	304
352	165	303
353	166	303
354	166	302
355	167	302
356	167	301
357	167	300
358	168	300
359	168	299
360	169	299
361	169	299
362	169	298
363	170	297
364	170	297
365	171	297
366	171	296
367	172	295
368	172	295
369	173	294
370	173	294
371	173	293
372	174	292
373	174	292
374	175	291
375	175	291
376	176	291
377	176	290
378	177	291
379	178	290
380	178	290
381	178	289
382	179	288
383	179	288
384	180	287
385	180	287
386	180	286
387	181	286
388	181	285
389	182	284
390	182	284
391	182	283
392	183	283
393	183	282
394	184	282
395	184	282
396	185	281
397	185	280
398	185	280
399	186	279
400	186	278
401	186	277
402	187	277
403	187	276
404	187	275
405	188	275
406	188	274
407	189	274
408	189	273
409	190	273
410	190	273
411	191	272
412	191	272
413	191	271
414	192	271
415	192	270
416	192	269
417	193	268
418	193	268
419	193	267
420	194	267
421	194	266
422	195	266
423	195	265
424	195	264
425	196	264
426	196	263
427	197	263
428	197	262
429	197	262
430	198	261
431	198	261
432	198	260
433	199	259
434	199	259
435	199	258
436	200	258
437	200	257
438	200	256
439	201	256
440	201	255
441	202	255
442	202	254
443	202	254
444	203	253
445	203	253
446	203	252
447	204	251
448	204	251
449	205	250
450	205	250
451	206	249
452	206	249
453	206	248
454	207	248
455	208	248
456	208	247
457	208	247
458	209	246
459	209	246
460	210	245
461	210	245
462	211	244
463	211	244
464	212	244
465	212	243
466	213	243
467	213	242
468	214	242
469	214	242
470	215	241
471	215	241
472	216	240
473	216	240
474	216	239
475	216	238
476	217	238
477	217	238
478	218	237
479	218	236
480	219	236
481	219	236
482	219	235
483	220	234
484	220	234
485	221	233
486	221	233
487	221	232
488	222	232
489	222	231
490	223	231
491	223	230
492	223	230
493	224	229
494	224	229
495	224	228
496	225	227
497	225	227
498	226	226
499	226	226
500	226	225
501	227	225
502	227	224
503	227	224
504	228	223
505	228	223
506	228	222
507	229	222
508	229	221
509	229	220
510	230	220
511	230	220
512	231	219
513	231	219
514	232	218
515	233	218
516	233	218
517	233	217
518	234	216
519	234	216
520	235	216
521	235	215
522	235	214
523	236	214
524	236	214
525	237	213
526	237	213
527	238	212
528	238	212
529	238	211
530	239	211
531	239	210
532	240	210
533	240	209
534	240	209
535	241	208
536	241	208
537	242	207
538	242	207
539	242	206
540	243	206
541	243	205
542	243	205
543	244	204
544	244	204
545	245	203
546	245	203
547	245	202
548	246	202
549	246	202
550	247	201
551	247	201
552	248	200
553	248	200
554	249	199
555	249	199
556	249	198
557	250	198
558	250	197
559	251	197
560	251	196
561	252	196
562	252	195
563	253	195
564	253	195
565	253	194
566	254	194
567	254	193
568	255	193
569	255	192
570	255	192
571	256	191
572	256	191
573	256	190
574	258	190
575	258	190
576	259	189
577	259	189
578	260	189
579	260	188
580	260	188
581	261	187
582	261	187
583	262	186
584	262	186
585	263	185
586	263	185
587	263	184
588	264	184
589	264	183
590	265	183
591	265	182
592	265	182
593	266	181
594	267	182
595	267	181
596	268	181
597	268	180
598	269	180
599	269	179
600	269	179
601	270	178
602	270	178
603	270	177
604	271	177
605	272	176
606	272	176
607	272	175
608	273	175
609	273	174
610	278	177
611	279	176
612	279	176
613	279	175
614	280	175
615	280	175
616	281	174
617	281	173
618	281	173
619	282	172
620	282	172
621	282	171
622	283	171
623	283	170
624	284	170
625	285	170
626	285	170
627	286	169
628	286	169
629	287	168
630	287	168
631	287	167
632	288	167
633	288	166
634	289	166
635	289	165
636	289	165
637	290	164
638	290	164
639	291	163
640	291	163
641	292	163
642	292	162
643	293	162
644	293	161
645	294	161
646	294	160
647	295	160
648	295	159
649	295	159
650	295	158
651	296	158
652	296	157
653	297	157
654	297	156
655	297	156
656	298	155
657	298	155
658	299	154
659	299	154
660	299	153
661	301	154
662	302	153
663	302	153
664	303	152
665	303	152
666	303	151
667	304	151
668	304	150
669	305	150
670	305	149
671	306	149
672	306	148
673	307	148
674	307	148
675	308	147
676	308	147
677	308	146
678	309	146
679	309	145
680	309	145
681	310	144
682	310	144
683	311	143
684	311	143
685	311	142
686	312	142
687	312	141
688	313	141
689	313	140
690	313	140
691	314	139
692	315	139
693	315	139
694	316	138
695	316	138
696	317	137
697	317	137
698	317	136
699	318	136
700	318	135
701	319	135
702	319	134
703	319	134
704	320	133
705	320	133
706	320	132
707	320	132
708	321	131
709	321	131
710	322	131
711	322	130
712	323	130
713	323	129
714	324	129
715	324	128
716	324	128
717	325	127
718	325	127
719	326	126
720	326	126
721	327	125
722	327	125
723	328	125
724	328	124
725	329	124
726	329	123
727	330	123
728	330	122
729	331	122
730	331	122
731	331	121
732	332	121
733	332	120
734	332	120
735	333	119
736	333	119
